Aboriginal students,Semester 1,Semester 2
(Term 1 and 2),(Term 3 and 4),Full year
Number of suspensions (Aboriginal students)
Actual harm,"3,163","2,439","5,602"
"Unacceptable risk to health 
and safety / wellbeing","6,065","6,247","12,312"
"6,065","6,247","12,312"
Unknown / Not available,43,15,58
Total suspensions,"9,271","8,701","17,972"
Number of students suspended (Aboriginal students)
Actual harm,"2,535","2,000","3,996"
"Unacceptable risk to health 
and safety / wellbeing","4,178","4,359","6,845"
Unknown / Not available,36,15,49
"All Aboriginal students 
suspended","5,880","5,749","9,010"
Suspension rate (Aboriginal students)
Actual harm,3.4%,2.7%,5.4%
"Unacceptable risk to health 
and safety / wellbeing",5.7%,5.9%,9.3%
Unknown / Not available,0.0%,0.0%,0.1%
All Aboriginal students,8.0%,7.8%,12.3%
